EmployeeNumber,Age,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobLevel,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,StandardHours,StockOptionLevel,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
321,59,Human Resources,6,2,Medical,Male,Human Resources,1,Married,2267,25657,8,1,80,0,7,2,2,2,2
323,50,Sales,1,4,Medical,Female,Manager,5,Divorced,19517,24118,3,1,80,1,32,7,0,0,6
325,33,Research & Development,14,3,Medical,Male,Laboratory Technician,1,Married,2436,22149,5,1,80,1,8,5,4,0,4
327,43,Sales,16,3,Marketing,Female,Manager,4,Married,16064,7744,5,1,80,1,22,17,13,1,9
328,33,Research & Development,2,2,Life Sciences,Female,Laboratory Technician,1,Married,2707,21509,7,1,80,0,13,9,7,1,7
329,52,Sales,2,4,Life Sciences,Male,Manager,5,Single,19068,21030,1,1,80,0,33,33,7,15,12
330,32,Sales,4,2,Life Sciences,Female,Sales Representative,1,Married,3931,20990,2,1,80,1,6,4,3,1,2
331,32,Research & Development,1,3,Life Sciences,Male,Laboratory Technician,1,Single,3730,9571,0,1,80,0,4,3,2,1,2
332,39,Research & Development,1,4,Medical,Female,Laboratory Technician,1,Divorced,2232,15417,7,1,80,3,7,3,2,1,2
333,32,Sales,26,4,Marketing,Male,Sales Executive,2,Married,4465,12069,0,1,80,0,4,3,2,2,2
334,41,Research & Development,19,2,Life Sciences,Male,Research Scientist,2,Divorced,3072,19877,2,1,80,2,17,1,0,0,0
335,40,Research & Development,24,2,Technical Degree,Male,Research Scientist,2,Divorced,3319,24447,1,1,80,2,9,9,8,4,7
336,45,Research & Development,1,3,Other,Male,Manager,5,Married,19202,15970,0,1,80,1,25,24,0,1,7
337,31,Research & Development,3,4,Medical,Male,Research Director,3,Divorced,13675,13523,9,1,80,1,9,2,2,2,2
338,33,Research & Development,5,4,Life Sciences,Female,Research Scientist,1,Married,2911,14776,1,1,80,1,2,2,2,0,2
339,34,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,2,Married,5957,23687,6,1,80,1,13,11,9,5,9
340,37,Research & Development,1,2,Medical,Female,Research Scientist,1,Married,3920,18697,2,1,80,1,17,3,1,0,2
341,45,Research & Development,7,4,Life Sciences,Male,Manufacturing Director,2,Married,6434,5118,4,1,80,1,9,3,2,0,2
342,37,Research & Development,10,3,Medical,Male,Manufacturing Director,3,Divorced,10048,22573,6,1,80,2,17,1,0,0,0
343,39,Research & Development,2,4,Technical Degree,Female,Healthcare Representative,3,Single,10938,6420,0,1,80,0,20,19,6,11,8
346,29,Research & Development,15,3,Life Sciences,Male,Research Scientist,1,Single,2340,22673,1,1,80,0,6,6,5,1,5
347,42,Research & Development,17,2,Life Sciences,Female,Research Scientist,2,Single,6545,23016,3,1,80,0,10,3,2,0,2
349,29,Sales,20,2,Marketing,Male,Sales Executive,2,Divorced,6931,10732,2,1,80,1,10,3,2,0,2
350,25,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,2,Married,4898,7505,0,1,80,2,5,4,2,1,2
351,42,Research & Development,2,3,Medical,Female,Laboratory Technician,1,Divorced,2593,8007,0,1,80,1,10,9,6,7,8
352,40,Research & Development,2,2,Medical,Male,Research Director,5,Divorced,19436,5949,0,1,80,1,22,21,7,3,9
353,51,Research & Development,1,3,Life Sciences,Male,Research Scientist,1,Married,2723,23231,1,1,80,0,1,1,0,0,0
355,31,Research & Development,29,2,Medical,Male,Laboratory Technician,1,Single,3479,11652,0,1,80,0,6,5,4,1,4
359,32,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,1,Married,2794,26062,1,1,80,0,5,5,1,0,3
361,38,Sales,2,2,Life Sciences,Male,Sales Executive,2,Married,5249,19682,3,1,80,1,13,8,7,7,5
362,32,Research & Development,2,1,Technical Degree,Male,Laboratory Technician,2,Single,2176,19737,4,1,80,0,9,6,2,0,4
363,46,Sales,2,3,Technical Degree,Female,Manager,4,Married,16872,14977,3,1,80,1,28,7,7,7,7
364,28,Research & Development,2,4,Life Sciences,Male,Laboratory Technician,1,Single,3485,14935,2,1,80,0,5,0,0,0,0
366,29,Sales,2,3,Medical,Male,Sales Executive,2,Married,6644,3687,2,1,80,2,10,0,0,0,0
367,31,Research & Development,23,3,Medical,Male,Healthcare Representative,2,Married,5582,14408,0,1,80,1,10,9,0,7,8
369,25,Research & Development,5,2,Life Sciences,Male,Healthcare Representative,2,Divorced,4000,18384,1,1,80,2,6,6,3,1,5
372,45,Research & Development,20,2,Medical,Male,Healthcare Representative,4,Married,13496,7501,0,1,80,0,21,20,7,4,10
373,36,Research & Development,6,3,Life Sciences,Male,Laboratory Technician,1,Married,3210,20251,0,1,80,1,16,15,13,10,11
374,55,Research & Development,1,3,Medical,Male,Manager,5,Single,19045,18938,0,1,80,0,37,36,10,4,13
376,47,Research & Development,29,4,Life Sciences,Male,Manager,3,Married,11849,10268,1,1,80,1,10,10,7,9,9
377,28,Research & Development,9,3,Medical,Male,Research Scientist,1,Married,2070,2613,1,1,80,1,5,5,2,0,4
378,37,Sales,6,4,Medical,Male,Sales Executive,2,Married,6502,22825,4,1,80,1,7,5,4,0,1
379,21,Research & Development,3,2,Medical,Male,Research Scientist,1,Single,3230,10531,1,1,80,0,3,3,2,1,0
380,37,Research & Development,1,4,Medical,Female,Research Director,3,Divorced,13603,11677,2,1,80,2,15,5,2,0,2
381,35,Research & Development,22,3,Life Sciences,Female,Manager,3,Divorced,11996,19100,7,1,80,1,10,7,7,6,2
382,38,Sales,7,2,Medical,Female,Sales Executive,2,Divorced,5605,19191,1,1,80,1,8,8,0,7,7
384,26,Research & Development,1,3,Life Sciences,Female,Manufacturing Director,2,Divorced,6397,26767,1,1,80,1,6,6,5,1,4
385,50,Research & Development,4,1,Life Sciences,Male,Research Director,5,Divorced,19144,15815,3,1,80,2,28,10,4,1,6
386,53,Research & Development,3,4,Medical,Male,Research Director,4,Married,17584,21016,3,1,80,3,21,5,3,1,3
387,42,Sales,1,1,Life Sciences,Male,Sales Executive,2,Married,4907,24532,1,1,80,0,20,20,16,11,6
388,29,Sales,2,2,Life Sciences,Male,Sales Executive,2,Single,4554,20260,1,1,80,0,10,10,7,0,9
389,55,Research & Development,20,2,Technical Degree,Male,Laboratory Technician,2,Married,5415,15972,3,1,80,1,12,10,7,0,8
390,26,Research & Development,11,2,Medical,Male,Healthcare Representative,2,Married,4741,22722,1,1,80,1,5,5,3,3,3
391,37,Research & Development,1,3,Life Sciences,Female,Research Scientist,1,Single,2115,15881,1,1,80,0,17,17,12,5,7
392,44,Research & Development,24,3,Life Sciences,Male,Laboratory Technician,1,Divorced,3161,19920,3,1,80,1,19,1,0,0,0
393,38,Research & Development,23,4,Life Sciences,Male,Healthcare Representative,2,Divorced,5745,18899,9,1,80,1,10,2,2,1,2
394,26,Research & Development,16,4,Medical,Male,Laboratory Technician,1,Divorced,2373,14180,2,1,80,1,5,3,2,0,2
395,28,Research & Development,8,2,Life Sciences,Female,Research Scientist,1,Single,3310,4488,1,1,80,0,5,5,3,0,2
396,49,Research & Development,10,4,Life Sciences,Female,Research Director,5,Single,18665,25594,9,1,80,0,22,3,2,1,2
397,36,Research & Development,3,3,Technical Degree,Male,Research Scientist,2,Single,4485,26285,4,1,80,0,10,8,0,7,7
399,31,Sales,5,3,Marketing,Female,Sales Representative,1,Divorced,2789,3909,1,1,80,1,2,2,2,2,2
401,26,Sales,4,4,Marketing,Male,Sales Executive,2,Single,5828,8450,1,1,80,0,8,8,7,7,4
403,37,Research & Development,9,3,Medical,Male,Research Scientist,1,Married,2326,11411,1,1,80,3,4,4,2,1,2
404,42,Sales,26,3,Marketing,Female,Sales Executive,4,Married,13525,14864,5,1,80,1,23,20,4,4,8
405,18,Research & Development,3,3,Life Sciences,Male,Laboratory Technician,1,Single,1420,25233,1,1,80,0,0,0,0,0,0
406,35,Sales,16,3,Marketing,Male,Sales Executive,3,Married,8020,5100,0,1,80,2,12,11,9,6,9
407,36,Research & Development,18,4,Life Sciences,Male,Laboratory Technician,1,Married,3688,7122,4,1,80,2,4,1,0,0,0
408,51,Research & Development,2,3,Medical,Male,Manufacturing Director,2,Divorced,5482,16321,5,1,80,1,13,4,1,1,2
410,41,Sales,2,4,Life Sciences,Male,Manager,4,Single,16015,15896,1,1,80,0,22,22,10,0,4
411,18,Sales,10,3,Medical,Female,Sales Representative,1,Single,1200,9724,1,1,80,0,0,0,0,0,0
412,28,Research & Development,16,2,Medical,Male,Healthcare Representative,2,Single,5661,4824,0,1,80,0,9,8,3,0,7
416,31,Sales,7,3,Technical Degree,Male,Sales Executive,2,Married,6929,12241,4,1,80,1,10,8,7,7,7
417,39,Research & Development,1,3,Medical,Male,Healthcare Representative,3,Divorced,9613,10942,0,1,80,3,19,18,10,3,7
419,36,Research & Development,24,4,Life Sciences,Female,Laboratory Technician,2,Married,5674,6927,7,1,80,1,11,9,8,0,8
420,32,Sales,7,3,Life Sciences,Male,Sales Executive,2,Married,5484,16985,1,1,80,1,13,13,8,4,8
421,38,Research & Development,25,2,Life Sciences,Female,Research Director,3,Married,12061,26707,3,1,80,1,19,10,8,0,1
422,58,Research & Development,1,4,Life Sciences,Male,Healthcare Representative,2,Divorced,5660,17056,2,1,80,1,12,5,3,1,2
423,31,Research & Development,5,4,Technical Degree,Male,Research Scientist,1,Married,4821,10077,0,1,80,1,6,5,2,0,3
424,31,Human Resources,2,3,Human Resources,Male,Human Resources,2,Married,6410,17822,3,1,80,0,9,2,2,1,0
425,45,Research & Development,7,3,Life Sciences,Male,Laboratory Technician,3,Divorced,5210,20308,1,1,80,1,24,24,9,9,11
426,31,Research & Development,2,4,Life Sciences,Male,Research Scientist,1,Divorced,2695,7747,0,1,80,1,3,2,2,2,2
428,33,Research & Development,5,4,Life Sciences,Female,Manager,3,Married,11878,23364,6,1,80,2,12,10,6,8,8
429,39,Research & Development,10,1,Medical,Male,Manager,4,Married,17068,5355,1,1,80,0,21,21,9,11,10
430,43,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,1,Single,2455,10675,0,1,80,0,9,8,7,1,7
431,49,Research & Development,1,2,Technical Degree,Female,Healthcare Representative,4,Single,13964,17810,7,1,80,0,25,7,1,0,7
433,52,Research & Development,8,4,Medical,Male,Research Scientist,2,Married,4941,17747,2,1,80,0,11,8,2,7,7
434,27,Research & Development,5,3,Life Sciences,Female,Research Scientist,1,Single,2478,20938,1,1,80,0,4,4,3,1,2
436,32,Sales,8,2,Technical Degree,Female,Sales Executive,2,Married,5228,24624,1,1,80,0,13,13,12,11,9
437,27,Sales,2,3,Life Sciences,Male,Sales Executive,2,Single,4478,5242,1,1,80,0,5,5,4,0,4
438,31,Sales,7,3,Marketing,Male,Sales Executive,2,Divorced,7547,7143,4,1,80,3,13,7,7,1,7
439,32,Research & Development,2,4,Medical,Female,Research Scientist,2,Single,5055,10557,7,1,80,0,10,7,7,0,7
440,28,Research & Development,2,4,Medical,Male,Research Scientist,1,Married,3464,24737,5,1,80,0,5,3,2,2,2
441,30,Research & Development,28,2,Medical,Female,Research Scientist,2,Married,5775,11934,1,1,80,2,11,10,8,1,9
442,31,Research & Development,7,2,Life Sciences,Female,Manufacturing Director,3,Married,8943,14034,1,1,80,1,10,10,9,8,9
444,39,Research & Development,7,2,Medical,Male,Manager,5,Married,19272,21141,1,1,80,1,21,21,9,13,3
445,39,Sales,3,2,Medical,Female,Sales Executive,2,Married,5238,17778,4,1,80,0,12,1,0,0,0
446,33,Sales,10,3,Marketing,Male,Sales Executive,2,Single,4682,4317,3,1,80,0,9,7,7,0,1
447,47,Research & Development,5,5,Life Sciences,Male,Research Director,5,Married,18300,16375,4,1,80,1,21,3,2,1,1
448,43,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,2,Divorced,5257,6227,1,1,80,1,9,9,7,0,0
449,27,Sales,1,1,Marketing,Male,Sales Executive,2,Married,6349,22107,0,1,80,1,6,5,4,1,4
450,54,Research & Development,20,4,Life Sciences,Female,Research Scientist,2,Single,4869,16885,3,1,80,0,20,4,3,0,3
451,43,Research & Development,7,3,Life Sciences,Female,Healthcare Representative,3,Married,9985,9262,8,1,80,1,10,1,0,0,0
452,45,Research & Development,8,4,Other,Male,Research Scientist,2,Married,3697,9278,9,1,80,2,12,10,9,9,8
453,40,Sales,1,2,Medical,Male,Sales Executive,2,Married,7457,13273,2,1,80,3,6,4,3,0,2
454,29,Research & Development,8,4,Other,Male,Laboratory Technician,1,Married,2119,4759,1,1,80,0,7,7,7,0,7
455,29,Research & Development,9,5,Other,Male,Laboratory Technician,1,Single,3983,7621,0,1,80,0,4,3,2,2,2
456,30,Sales,5,3,Marketing,Female,Sales Executive,2,Divorced,6118,5431,1,1,80,3,10,10,9,1,2
458,27,Sales,8,4,Marketing,Female,Sales Executive,2,Married,6214,3415,1,1,80,1,8,8,7,0,7
460,37,Research & Development,5,2,Medical,Male,Manufacturing Director,2,Divorced,6347,23177,7,1,80,2,8,6,2,0,4
461,38,Research & Development,15,2,Life Sciences,Male,Research Director,3,Divorced,11510,15682,0,1,80,1,12,11,10,2,9
462,31,Research & Development,7,4,Medical,Female,Manufacturing Director,3,Single,7143,25713,1,1,80,0,11,11,9,4,10
463,29,Sales,10,1,Marketing,Female,Sales Executive,2,Divorced,8268,11866,1,1,80,2,7,7,7,1,7
464,35,Research & Development,5,4,Technical Degree,Male,Manufacturing Director,3,Single,8095,18264,0,1,80,0,17,16,6,0,13
465,23,Research & Development,26,1,Life Sciences,Male,Research Scientist,1,Divorced,2904,16092,1,1,80,2,4,4,2,0,2
466,41,Research & Development,6,3,Medical,Male,Manufacturing Director,2,Single,6032,10110,6,1,80,0,8,5,4,1,2
467,47,Sales,4,1,Medical,Male,Sales Representative,2,Single,2976,25751,3,1,80,0,5,0,0,0,0
468,42,Research & Development,23,5,Life Sciences,Female,Research Director,4,Single,15992,15901,2,1,80,0,16,1,0,0,0
469,29,Sales,2,3,Life Sciences,Male,Sales Executive,2,Married,4649,16928,1,1,80,1,4,4,3,0,2
470,42,Human Resources,2,1,Technical Degree,Male,Human Resources,1,Divorced,2696,24017,0,1,80,1,4,3,2,1,0
471,32,Research & Development,2,3,Medical,Female,Laboratory Technician,1,Married,2370,3956,1,1,80,1,8,8,0,0,7
473,48,Sales,29,1,Medical,Female,Manager,3,Married,12504,23978,3,1,80,1,15,0,0,0,0
474,37,Research & Development,6,3,Medical,Male,Research Scientist,2,Divorced,5974,17001,4,1,80,2,13,7,7,6,7
475,30,Sales,25,2,Technical Degree,Female,Sales Executive,2,Married,4736,6069,7,1,80,1,4,2,2,2,2
476,26,Sales,1,3,Life Sciences,Male,Sales Executive,2,Married,5296,20156,1,1,80,1,8,8,7,7,7
477,42,Research & Development,2,4,Other,Male,Healthcare Representative,2,Single,6781,17078,3,1,80,0,14,1,0,0,0
478,21,Sales,1,1,Technical Degree,Female,Sales Representative,1,Single,2174,9150,1,1,80,0,3,3,2,1,2
479,36,Sales,1,5,Medical,Female,Sales Executive,2,Single,6653,15276,4,1,80,0,7,1,0,0,0
481,36,Sales,3,4,Medical,Male,Sales Executive,3,Married,9699,7246,4,1,80,1,16,13,9,1,12
482,57,Research & Development,1,4,Medical,Male,Healthcare Representative,2,Married,6755,2967,2,1,80,0,15,3,2,1,2
483,40,Research & Development,10,4,Life Sciences,Female,Laboratory Technician,1,Married,2213,22495,3,1,80,1,10,7,7,1,7
484,21,Sales,9,2,Medical,Male,Sales Representative,1,Single,2610,2851,1,1,80,0,3,3,2,2,2
485,33,Sales,5,3,Marketing,Female,Sales Representative,1,Single,2851,9150,1,1,80,0,1,1,0,0,0
486,37,Research & Development,10,3,Medical,Female,Laboratory Technician,1,Married,3452,17663,6,1,80,1,17,5,4,0,3
487,46,Research & Development,7,4,Medical,Female,Manufacturing Director,2,Married,5258,16044,2,1,80,0,7,1,0,0,0
488,41,Sales,4,3,Marketing,Male,Sales Executive,2,Single,9355,9558,1,1,80,0,8,8,7,7,7
491,50,Research & Development,10,3,Technical Degree,Male,Healthcare Representative,3,Single,10496,2755,6,1,80,0,20,4,3,1,3
492,40,Sales,22,2,Marketing,Male,Sales Executive,2,Married,6380,6110,2,1,80,2,8,6,4,1,0
493,31,Research & Development,9,4,Life Sciences,Male,Research Scientist,1,Single,2657,7551,0,1,80,0,3,2,2,2,2
494,21,Sales,12,3,Life Sciences,Female,Sales Representative,1,Single,2716,25422,1,1,80,0,1,1,0,0,0
495,29,Research & Development,23,3,Life Sciences,Male,Research Scientist,1,Single,2201,18168,9,1,80,0,6,3,2,1,2
496,35,Research & Development,9,4,Life Sciences,Male,Healthcare Representative,2,Single,6540,19394,9,1,80,0,10,1,1,0,0
497,27,Research & Development,1,2,Medical,Male,Laboratory Technician,1,Divorced,3816,17881,1,1,80,1,5,5,2,0,4
498,28,Sales,9,4,Life Sciences,Male,Sales Executive,2,Single,5253,20750,1,1,80,0,7,7,5,0,7
499,49,Research & Development,7,3,Other,Male,Healthcare Representative,3,Single,10965,12066,8,1,80,0,26,5,2,0,0
500,51,Sales,14,2,Life Sciences,Female,Sales Executive,2,Married,4936,14862,4,1,80,1,18,7,7,0,7
501,36,Research & Development,2,3,Life Sciences,Female,Research Scientist,1,Married,2543,11868,4,1,80,1,6,2,2,2,2
502,34,Sales,19,3,Marketing,Male,Sales Executive,2,Single,5304,4652,8,1,80,0,9,5,2,0,4
505,55,Research & Development,2,3,Life Sciences,Female,Manager,4,Single,16659,23258,2,1,80,0,30,5,4,1,2
507,24,Sales,10,4,Marketing,Female,Sales Executive,2,Divorced,4260,5915,1,1,80,1,5,5,2,0,3
508,30,Sales,2,1,Technical Degree,Male,Sales Representative,1,Married,2476,17434,1,1,80,1,1,1,0,0,0
510,26,Research & Development,3,1,Technical Degree,Male,Research Scientist,1,Single,3102,6582,0,1,80,0,7,6,4,0,4
511,22,Research & Development,11,3,Medical,Female,Research Scientist,1,Married,2244,24440,1,1,80,1,2,2,1,1,2
513,36,Sales,2,2,Medical,Male,Sales Executive,3,Married,7596,3809,1,1,80,2,10,10,9,9,0
514,30,Research & Development,4,3,Technical Degree,Male,Research Scientist,1,Single,2285,3427,9,1,80,0,3,1,0,0,0
515,37,Research & Development,14,3,Life Sciences,Female,Laboratory Technician,1,Divorced,3034,26914,1,1,80,1,18,18,7,12,17
516,40,Sales,2,2,Marketing,Female,Sales Executive,2,Divorced,5715,22553,7,1,80,2,8,5,4,1,3
517,42,Research & Development,1,4,Life Sciences,Female,Laboratory Technician,1,Divorced,2576,20490,3,1,80,1,8,5,2,1,2
518,37,Research & Development,10,4,Life Sciences,Male,Manufacturing Director,2,Single,4197,21123,2,1,80,0,18,1,0,0,1
520,43,Research & Development,12,3,Life Sciences,Male,Research Director,4,Divorced,14336,4345,1,1,80,1,25,25,10,3,9
521,40,Research & Development,2,3,Medical,Female,Laboratory Technician,2,Married,3448,13436,6,1,80,1,20,1,0,0,0
522,54,Research & Development,5,2,Medical,Male,Research Director,5,Married,19406,8509,4,1,80,1,24,4,2,1,2
523,34,Sales,4,4,Marketing,Female,Sales Executive,2,Married,6538,12740,9,1,80,1,6,3,2,1,2
524,31,Research & Development,7,2,Medical,Female,Manufacturing Director,2,Married,4306,4156,1,1,80,1,13,13,10,3,12
525,43,Research & Development,21,3,Medical,Male,Laboratory Technician,1,Married,2258,15238,7,1,80,1,8,3,2,1,2
526,43,Research & Development,8,4,Other,Female,Healthcare Representative,2,Divorced,4522,2227,4,1,80,0,8,5,2,0,2
527,25,Sales,4,2,Life Sciences,Female,Sales Executive,2,Single,4487,12090,1,1,80,0,5,5,4,1,3
529,37,Research & Development,25,5,Medical,Female,Research Scientist,2,Married,4449,23866,3,1,80,2,15,13,11,10,7
530,31,Research & Development,1,2,Life Sciences,Male,Laboratory Technician,1,Married,2218,16193,1,1,80,1,4,4,2,3,2
531,39,Research & Development,1,1,Life Sciences,Male,Manager,5,Divorced,19197,8213,1,1,80,1,21,21,8,1,6
532,56,Sales,6,3,Life Sciences,Female,Sales Executive,4,Married,13212,18256,9,1,80,3,36,7,7,7,7
533,30,Sales,12,3,Technical Degree,Female,Sales Executive,2,Single,6577,19558,0,1,80,0,6,5,4,4,4
534,41,Sales,1,3,Marketing,Male,Sales Executive,3,Married,8392,19566,1,1,80,1,10,10,7,0,7
536,28,Research & Development,17,2,Medical,Male,Laboratory Technician,2,Divorced,4558,13535,1,1,80,1,10,10,0,1,8
538,25,Research & Development,3,3,Medical,Male,Laboratory Technician,1,Married,4031,9396,5,1,80,1,6,2,2,0,2
543,52,Research & Development,3,3,Medical,Male,Manufacturing Director,3,Married,7969,19609,2,1,80,0,28,5,4,0,4
544,45,Research & Development,10,2,Life Sciences,Male,Research Scientist,1,Married,2654,9655,3,1,80,2,8,2,2,0,2
546,52,Research & Development,4,2,Life Sciences,Female,Manager,4,Married,16555,10310,2,1,80,0,31,5,2,1,4
547,42,Research & Development,29,2,Life Sciences,Female,Research Scientist,2,Divorced,4556,12932,2,1,80,1,19,5,4,0,2
548,30,Research & Development,2,3,Life Sciences,Female,Manufacturing Director,2,Single,6091,24793,2,1,80,0,11,5,4,0,2
549,60,Research & Development,7,3,Life Sciences,Female,Manager,5,Married,19566,3854,5,1,80,0,33,29,8,11,10
550,46,Research & Development,18,3,Medical,Female,Manufacturing Director,2,Divorced,4810,26314,2,1,80,1,19,10,7,0,8
551,42,Research & Development,28,4,Technical Degree,Female,Healthcare Representative,2,Married,4523,4386,0,1,80,3,7,6,5,0,4
554,24,Sales,1,1,Technical Degree,Female,Sales Representative,1,Single,3202,21972,1,1,80,0,6,5,3,1,4
555,34,Sales,6,2,Marketing,Female,Sales Representative,1,Divorced,2351,12253,0,1,80,1,3,2,2,1,0
556,38,Research & Development,2,2,Life Sciences,Male,Laboratory Technician,1,Married,1702,12106,1,1,80,1,1,1,0,0,0
558,40,Sales,2,4,Life Sciences,Female,Manager,5,Married,18041,13022,0,1,80,0,21,20,15,1,12
560,26,Research & Development,23,3,Life Sciences,Female,Research Scientist,1,Divorced,2886,3032,1,1,80,2,3,3,2,0,2
562,30,Research & Development,3,3,Life Sciences,Male,Laboratory Technician,1,Married,2097,16734,4,1,80,1,9,5,3,1,4
564,29,Research & Development,3,4,Medical,Male,Research Director,3,Married,11935,21526,1,1,80,0,10,10,2,0,7
565,29,Research & Development,25,5,Technical Degree,Female,Research Scientist,1,Married,2546,18300,5,1,80,0,6,2,2,1,1
566,19,Human Resources,2,2,Technical Degree,Male,Human Resources,1,Single,2564,18437,1,1,80,0,1,1,0,0,0
567,30,Sales,22,4,Other,Female,Sales Executive,3,Married,8412,2890,0,1,80,0,10,9,8,7,8
568,57,Sales,29,3,Marketing,Male,Manager,4,Divorced,14118,22102,3,1,80,1,32,1,0,0,0
569,50,Research & Development,29,4,Life Sciences,Male,Manager,4,Married,17046,9314,0,1,80,1,28,27,10,15,7
571,30,Research & Development,2,3,Medical,Female,Laboratory Technician,1,Single,2564,7181,0,1,80,0,12,11,7,6,7
573,60,Sales,28,3,Marketing,Female,Sales Executive,3,Married,10266,2845,4,1,80,0,22,18,13,13,11
574,47,Research & Development,2,2,Medical,Female,Manufacturing Director,2,Divorced,5070,7389,5,1,80,3,20,5,0,0,4
575,46,Research & Development,2,3,Life Sciences,Male,Research Director,4,Married,17861,2288,6,1,80,0,26,3,2,0,1
577,35,Research & Development,22,3,Life Sciences,Male,Laboratory Technician,1,Single,4230,19225,0,1,80,0,6,5,4,4,3
578,54,Research & Development,8,4,Life Sciences,Female,Laboratory Technician,2,Single,3780,23428,7,1,80,0,19,1,0,0,0
579,34,Research & Development,2,4,Life Sciences,Male,Research Scientist,1,Divorced,2768,8416,3,1,80,1,14,7,3,5,7
580,46,Sales,10,3,Marketing,Female,Sales Executive,3,Married,9071,11563,2,1,80,1,15,3,2,1,2
581,31,Research & Development,9,1,Life Sciences,Male,Manufacturing Director,3,Divorced,10648,14394,1,1,80,1,13,13,8,0,8
582,33,Research & Development,15,1,Medical,Male,Manager,3,Married,13610,24619,7,1,80,0,15,7,6,7,7
584,33,Research & Development,10,1,Medical,Male,Laboratory Technician,1,Divorced,3408,6705,7,1,80,3,8,4,3,1,3
585,30,Sales,7,1,Marketing,Male,Sales Representative,1,Single,2983,18398,0,1,80,0,4,3,2,1,2
586,35,Research & Development,16,3,Life Sciences,Male,Healthcare Representative,3,Married,7632,14295,4,1,80,0,10,8,7,0,0
587,31,Research & Development,20,3,Life Sciences,Male,Healthcare Representative,3,Married,9824,22908,3,1,80,0,12,1,0,0,0
590,34,Human Resources,23,3,Human Resources,Female,Human Resources,3,Divorced,9950,11533,9,1,80,3,11,3,2,0,2
591,42,Research & Development,5,2,Other,Male,Laboratory Technician,1,Married,2093,9260,4,1,80,1,8,2,2,2,0
592,36,Sales,10,4,Medical,Male,Sales Executive,3,Single,9980,15318,1,1,80,0,10,10,3,9,7
593,22,Research & Development,4,1,Technical Degree,Male,Laboratory Technician,1,Single,3894,9129,5,1,80,0,4,2,2,1,2
595,48,Sales,2,5,Marketing,Female,Sales Executive,2,Married,4051,19658,2,1,80,1,14,9,7,6,7
597,55,Sales,18,5,Life Sciences,Female,Manager,4,Single,16835,9873,3,1,80,0,37,10,9,7,7
599,41,Sales,10,2,Life Sciences,Male,Sales Executive,2,Single,6230,13430,7,1,80,0,16,14,3,1,10
600,35,Sales,1,3,Marketing,Male,Sales Executive,2,Married,4717,18659,9,1,80,0,15,11,9,6,9
601,40,Research & Development,6,3,Life Sciences,Female,Manufacturing Director,4,Single,13237,20364,7,1,80,0,22,20,6,5,13
602,39,Research & Development,8,1,Life Sciences,Female,Laboratory Technician,1,Married,3755,17872,1,1,80,1,8,8,3,0,7
604,31,Sales,2,1,Life Sciences,Male,Sales Executive,2,Single,6582,8346,4,1,80,0,10,6,5,0,5
605,42,Research & Development,24,3,Medical,Male,Manufacturing Director,3,Married,7406,6950,1,1,80,1,10,10,9,5,8
606,45,Sales,2,3,Other,Male,Sales Executive,2,Married,4805,16177,0,1,80,1,9,8,7,3,7
608,26,Human Resources,17,4,Life Sciences,Female,Human Resources,1,Divorced,2741,22808,0,1,80,1,8,7,7,1,0
611,29,Research & Development,19,3,Technical Degree,Male,Manufacturing Director,2,Divorced,4262,22645,4,1,80,2,8,3,2,1,2
612,33,Research & Development,1,5,Medical,Female,Research Director,4,Divorced,16184,22578,4,1,80,1,10,6,1,0,5
613,31,Sales,7,3,Life Sciences,Male,Manager,3,Divorced,11557,25291,9,1,80,1,10,5,4,0,1
614,18,Sales,5,3,Marketing,Male,Sales Representative,1,Single,1878,8059,1,1,80,0,0,0,0,0,0
615,40,Sales,28,3,Other,Male,Sales Executive,3,Divorced,10932,11373,3,1,80,1,20,1,0,0,1
616,41,Research & Development,2,4,Other,Female,Healthcare Representative,2,Single,6811,2112,2,1,80,0,10,8,7,0,7
618,26,Sales,29,2,Medical,Male,Sales Executive,2,Divorced,4306,4267,5,1,80,2,8,0,0,0,0
620,35,Sales,1,3,Medical,Female,Sales Executive,2,Single,4859,6698,1,1,80,0,5,5,4,0,3
621,34,Sales,21,4,Life Sciences,Male,Sales Executive,2,Single,5337,19921,1,1,80,0,10,10,7,5,7
622,26,Research & Development,24,3,Technical Degree,Male,Laboratory Technician,1,Single,2340,23213,1,1,80,0,1,1,0,0,0
623,37,Research & Development,1,3,Technical Degree,Female,Manufacturing Director,3,Single,7491,23848,4,1,80,0,12,6,5,1,2
624,46,Research & Development,18,1,Medical,Female,Healthcare Representative,3,Married,10527,8984,5,1,80,0,28,2,2,1,2
625,41,Sales,2,5,Life Sciences,Female,Manager,4,Married,16595,5626,7,1,80,1,22,18,16,11,8
